id,mean_acc_[HT],current_acc_[HT],mean_acc_[SAMKNN],current_acc_[SAMKNN],mean_acc_[HAT],current_acc_[HAT]
1000,0.464,0.495,0.651,0.665,0.637,0.67
2000,0.529,0.595,0.641,0.655,0.647,0.66
3000,0.544,0.57,0.650667,0.675,0.643,0.675
4000,0.55125,0.57,0.654,0.655,0.638,0.55
5000,0.5538,0.53,0.652,0.64,0.638,0.63
6000,0.556,0.54,0.651167,0.625,0.635833,0.565
7000,0.561429,0.61,0.649857,0.625,0.638,0.655
8000,0.568,0.6,0.654125,0.685,0.64375,0.69
9000,0.570889,0.645,0.651889,0.685,0.646111,0.695
10000,0.5735,0.585,0.6546,0.67,0.6476,0.63
11000,0.577818,0.645,0.655636,0.675,0.648182,0.705
12000,0.57975,0.525,0.637417,0.09,0.629167,0.02
13000,0.584692,0.595,0.665308,1,0.582077,0.02
14000,0.565571,0.09,0.642929,0,0.5445,0.045
15000,0.538867,0.15,0.6386,0.53,0.540867,0.52
16000,0.521437,0.22,0.636938,0.62,0.542375,0.59
17000,0.506412,0.125,0.631353,0.155,0.541706,0.17
18000,0.485056,0.1,0.648444,0.93,0.542167,0.615
19000,0.484474,0.535,0.651684,0.445,0.550211,0.435
20000,0.4845,0.46,0.6523,0.645,0.549,0.525
21000,0.485238,0.485,0.65581,0.69,0.555143,0.655
22000,0.491636,0.605,0.659955,0.69,0.560591,0.695
23000,0.49587,0.59,0.66187,0.7,0.565304,0.66
24000,0.501833,0.63,0.663292,0.72,0.5695,0.66
25000,0.50668,0.69,0.66584,0.66,0.57148,0.69
26000,0.511538,0.64,0.668269,0.73,0.574885,0.685
27000,0.516852,0.535,0.66937,0.55,0.576741,0.585
28000,0.512893,0.39,0.65725,0.295,0.575964,0.545
29000,0.510586,0.37,0.658,0.67,0.576655,0.515
30000,0.508,0.5,0.658133,0.715,0.576833,0.615
31000,0.506935,0.485,0.658194,0.67,0.578097,0.645
32000,0.505625,0.46,0.658438,0.66,0.581625,0.665
33000,0.502303,0.365,0.648242,0.26,0.572818,0.18
34000,0.499059,0.42,0.645324,0.585,0.570147,0.515
35000,0.496,0.375,0.642286,0.485,0.569371,0.485
36000,0.493333,0.38,0.640222,0.56,0.568,0.49
37000,0.491946,0.45,0.638568,0.555,0.567919,0.565
38000,0.489579,0.58,0.629711,0.305,0.564711,0.445
39000,0.490256,0.55,0.627231,0.62,0.562513,0.575
40000,0.4915,0.46,0.628425,0.695,0.56445,0.625
41000,0.49278,0.59,0.630341,0.73,0.565732,0.675
42000,0.493286,0.515,0.632833,0.725,0.567333,0.62
43000,0.493767,0.465,0.634093,0.745,0.568837,0.625
44000,0.4945,0.52,0.635477,0.75,0.569932,0.64
45000,0.495867,0.575,0.637956,0.77,0.571622,0.655
46000,0.497283,0.645,0.636717,0.11,0.571978,0.24
47000,0.499532,0.645,0.63917,0.76,0.568234,0.35
48000,0.502104,0.6,0.643854,0.81,0.569375,0.65
49000,0.505245,0.62,0.648041,0.83,0.574653,0.795
50000,0.50886,0.65,0.6524,0.845,0.58002,0.84
51000,0.512314,0.715,0.656784,0.88,0.585471,0.875
52000,0.514022,0.63,0.646428,0,0.577476,0.11
